Event,Split 1,Split 2,Split 3,Split 4,Date
50 Fly,28.25,,,,09/30/23
100Y IM (50x2),29.60,34.93,,,09/30/23
50Y Fly,27.88,,,,09/30/23
50Y Free,26.98,,,,09/30/23
100Y Free (50x2),27.19,30.40,,,09/30/23
50Y Fly (25-50),12.78,27.80,,,10/07/23
200Y Fly (50x4),29.92,34.65,37.26,40.23,10/07/23
100Y Fly (50x2),28.72,32.91,,,10/07/23
200Y IM (50x4),28.88,35.72,40.98,32.32,10/07/23
50Y Fly,28.62,,,,11/04/23
100Y Fly (50x2),29.94,34.89,,,11/04/23
200Y IM (50x4),29.69,35.90,40.42,32.28,11/04/23
Updated 11/6/2023,,,,,
